model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,k-center,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.53,0.002,0.69,0.315,0.624,0.455,,1e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
logreg,k-center,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.886,0.009,0.559,0.108,0.212,0.12,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
knn,k-center,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,0.661,0.001,0.5,0.001,0.0,0.001,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
xgb,k-center,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,1.091,0.04,0.852,0.445,0.878,0.784,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
rf,k-center,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,8.973,0.173,0.753,0.37,0.734,0.582,,6e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
mlp,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,1.498,0.033,0.671,0.257,0.509,0.343,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
naive_bayes,ag,0.65,0.627,0.627,0.65,0.2,0.213,0.213,0.2,0.441,0.001,0.78,0.362,0.716,0.56,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
logreg,ag,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,0.847,0.007,0.719,0.457,0.903,0.826,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
knn,ag,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,0.595,0.001,0.646,0.448,0.888,0.801,,1e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
xgb,ag,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,1.111,0.039,0.5,0.412,0.821,0.698,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.00127410888671875,1566.1589603424072
