model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
knn,k-center,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,6.471,0.001,0.534,0.511,0.695,0.765,0.532,2.9e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
xgb,k-center,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,8.399,0.079,0.598,0.564,0.643,0.617,0.623,4e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
rf,k-center,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,16.127,0.211,0.5,0.432,0.657,0.761,0.5,5e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
svc,k-center,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,8.192,0.002,0.513,0.458,0.671,0.766,0.449,6e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
logreg,k-center,0.45,0.427,0.427,0.45,0.187,0.204,0.204,0.187,6.838,0.006,0.555,0.541,0.715,0.782,0.558,6e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
mlp,k-center,0.25,0.227,0.227,0.25,0.274,0.269,0.269,0.274,7.965,0.021,0.61,0.592,0.683,0.666,0.658,1.8e-05,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
naive_bayes,k-center,0.35,0.327,0.327,0.35,0.255,0.259,0.259,0.255,8.217,0.001,0.595,0.568,0.652,0.628,0.647,1e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
knn,k-center,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,8.913,0.001,0.495,0.486,0.652,0.684,0.476,2e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,5.349,0.144,0.688,0.647,0.716,0.697,0.769,5e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
rf,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,16.478,0.282,0.706,0.687,0.761,0.752,0.789,1.1e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
svc,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,5.886,0.001,0.756,0.731,0.795,0.786,0.847,3e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
logreg,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.19,0.103,0.767,0.715,0.771,0.755,0.846,7e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
mlp,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,5.313,1.179,0.757,0.683,0.735,0.714,0.841,1.8e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
naive_bayes,ag,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.505,0.001,0.675,0.671,0.757,0.755,0.693,1e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,9.355,0.001,0.747,0.718,0.782,0.771,0.824,4.9e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.89,0.23,0.655,0.581,0.635,0.607,0.726,5e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
rf,ag,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,17.216,0.297,0.733,0.664,0.718,0.696,0.809,9e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
svc,ag,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,9.095,0.002,0.787,0.73,0.783,0.768,0.866,2e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
logreg,ag,0.75,0.74,0.74,0.75,0.316,0.332,0.332,0.316,7.103,0.244,0.772,0.726,0.783,0.769,0.865,6e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
mlp,ag,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,4.358,1.246,0.777,0.732,0.788,0.775,0.862,1.7e-05,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
naive_bayes,ag,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,6.454,0.001,0.599,0.611,0.746,0.782,0.664,1e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.379,0.001,0.76,0.693,0.746,0.727,0.825,4.6e-05,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0014984607696533203,161.67495274543762
