model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
knn,k-center,0.59,0.579,0.579,0.59,0.041,0.046,0.046,0.041,5.68,0.001,0.654,0.646,0.736,0.731,0.711,4.7e-05,original,0.01,5,0,0,0,0.0014123916625976562
xgb,k-center,0.69,0.688,0.688,0.69,0.096,0.099,0.099,0.096,7.441,39.352,0.737,0.668,0.723,0.701,0.821,5e-06,latent,0.01,5,0,0,0,0.0014123916625976562
rf,k-center,0.671,0.666,0.666,0.671,0.079,0.086,0.086,0.079,7.932,0.14,0.733,0.728,0.8,0.798,0.854,5e-06,latent,0.01,5,0,0,0,0.0014123916625976562
svc,k-center,0.638,0.613,0.613,0.638,0.035,0.043,0.043,0.035,3.932,0.019,0.769,0.76,0.822,0.82,0.871,2e-05,latent,0.01,5,0,0,0,0.0014123916625976562
logreg,k-center,0.643,0.639,0.639,0.643,0.071,0.072,0.072,0.071,4.419,0.238,0.739,0.689,0.75,0.732,0.82,0.0,latent,0.01,5,0,0,0,0.0014123916625976562
mlp,k-center,0.538,0.535,0.535,0.538,0.059,0.06,0.06,0.059,3.64,0.404,0.754,0.664,0.71,0.687,0.827,1.3e-05,latent,0.01,5,0,0,0,0.0014123916625976562
naive_bayes,k-center,0.667,0.639,0.639,0.667,0.067,0.087,0.087,0.067,2.858,0.001,0.611,0.627,0.761,0.805,0.866,1e-06,latent,0.01,5,0,0,0,0.0014123916625976562
knn,k-center,0.533,0.531,0.531,0.533,0.044,0.045,0.045,0.044,2.868,0.001,0.609,0.538,0.593,0.562,0.658,1.5e-05,latent,0.01,5,0,0,0,0.0014123916625976562
xgb,ag,0.986,0.986,0.986,0.986,0.019,0.019,0.019,0.019,3.585,26.026,0.609,0.624,0.754,0.79,0.802,5e-06,original,0.01,5,0,0,0,0.0013339519500732422
rf,ag,0.962,0.962,0.962,0.962,0.036,0.036,0.036,0.036,8.885,0.824,0.718,0.731,0.81,0.816,0.87,1.4e-05,original,0.01,5,0,0,0,0.0013339519500732422
svc,ag,0.838,0.837,0.837,0.838,0.032,0.032,0.032,0.032,3.894,0.012,0.766,0.72,0.778,0.764,0.845,1e-05,original,0.01,5,0,0,0,0.0013339519500732422
logreg,ag,0.881,0.881,0.881,0.881,0.026,0.026,0.026,0.026,3.352,0.011,0.682,0.654,0.729,0.714,0.777,1.1e-05,original,0.01,5,0,0,0,0.0013339519500732422
mlp,ag,0.81,0.809,0.809,0.81,0.045,0.045,0.045,0.045,9.087,16.247,0.8,0.76,0.813,0.803,0.879,2.6e-05,original,0.01,5,0,0,0,0.0013339519500732422
naive_bayes,ag,0.671,0.647,0.647,0.671,0.066,0.079,0.079,0.066,10.278,0.001,0.721,0.61,0.649,0.624,0.794,1e-06,original,0.01,5,0,0,0,0.0013339519500732422
knn,ag,0.79,0.79,0.79,0.79,0.066,0.066,0.066,0.066,7.484,0.001,0.798,0.74,0.79,0.776,0.872,5.2e-05,original,0.01,5,0,0,0,0.0013339519500732422
xgb,ag,0.986,0.986,0.986,0.986,0.019,0.019,0.019,0.019,3.131,0.287,0.625,0.644,0.764,0.794,0.802,6e-06,latent,0.01,5,0,0,0,0.0013339519500732422
