model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
logreg,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,5.41,0.007,0.5,0.181,0.08,0.221,0.572,0.0,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
mlp,k-center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,3.886,2.009,0.479,0.303,0.285,0.304,0.492,2.5e-05,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
naive_bayes,k-center,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,6.927,0.001,0.478,0.333,0.335,0.333,0.572,1e-06,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
knn,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.193,0.001,0.499,0.183,0.083,0.222,0.499,4.3e-05,original,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
xgb,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.861,0.078,0.475,0.347,0.361,0.348,0.494,7e-06,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
rf,k-center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,14.375,0.256,0.473,0.433,0.516,0.472,0.453,9e-06,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
svc,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.063,0.001,0.5,0.183,0.084,0.223,0.603,3e-06,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
logreg,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,7.129,0.008,0.5,0.182,0.082,0.222,0.587,1.1e-05,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
mlp,k-center,0.7,0.653,0.653,0.7,0.1,0.16,0.16,0.1,6.159,0.024,0.495,0.209,0.127,0.237,0.533,1.1e-05,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
naive_bayes,k-center,0.55,0.44,0.44,0.55,0.245,0.285,0.285,0.245,7.136,0.002,0.501,0.183,0.082,0.222,0.504,2e-06,latent,10,5,255.12002396583557,99.09831547737122,2.056051183629919e-06,0.001810312271118164
