model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
knn,k-center,0.577,0.573,0.573,0.576,0.053,0.058,0.058,0.053,5.125,0.001,0.512,0.227,0.149,0.252,0.616,4.2e-05,original,0.01,5,0,0,0,0.0026035308837890625
xgb,k-center,0.557,0.551,0.552,0.559,0.068,0.069,0.069,0.068,4.642,5.072,0.514,0.311,0.284,0.315,0.498,8e-06,latent,0.01,5,0,0,0,0.0026035308837890625
rf,k-center,0.558,0.557,0.557,0.559,0.094,0.095,0.095,0.094,9.492,0.389,0.511,0.234,0.161,0.257,0.57,1.8e-05,latent,0.01,5,0,0,0,0.0026035308837890625
svc,k-center,0.609,0.596,0.596,0.609,0.092,0.096,0.097,0.092,4.141,0.012,0.503,0.192,0.096,0.228,0.596,3.2e-05,latent,0.01,5,0,0,0,0.0026035308837890625
logreg,k-center,0.636,0.629,0.629,0.635,0.112,0.119,0.119,0.112,5.94,0.107,0.506,0.202,0.111,0.235,0.598,1.3e-05,latent,0.01,5,0,0,0,0.0026035308837890625
mlp,k-center,0.497,0.494,0.495,0.499,0.106,0.107,0.106,0.105,4.258,0.19,0.518,0.267,0.211,0.281,0.563,2.2e-05,latent,0.01,5,0,0,0,0.0026035308837890625
naive_bayes,k-center,0.625,0.585,0.586,0.626,0.091,0.111,0.111,0.092,2.933,0.001,0.502,0.186,0.088,0.225,0.504,4e-06,latent,0.01,5,0,0,0,0.0026035308837890625
knn,k-center,0.592,0.588,0.588,0.592,0.113,0.117,0.117,0.114,4.211,0.001,0.511,0.273,0.223,0.284,0.584,4.6e-05,latent,0.01,5,0,0,0,0.0026035308837890625
xgb,ag,0.671,0.662,0.662,0.669,0.064,0.067,0.067,0.065,2.716,0.025,0.559,0.503,0.581,0.542,0.581,9e-06,original,0.01,5,0,0,0,0.0020864009857177734
rf,ag,0.679,0.672,0.671,0.678,0.077,0.086,0.087,0.08,9.429,0.121,0.631,0.54,0.6,0.566,0.674,5e-06,original,0.01,5,0,0,0,0.0020864009857177734
svc,ag,0.594,0.575,0.574,0.593,0.1,0.095,0.095,0.101,4.801,0.007,0.673,0.69,0.796,0.807,0.753,1.5e-05,original,0.01,5,0,0,0,0.0020864009857177734
