model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,k-center,0.715,0.715,0.715,0.715,0.035,0.036,0.036,0.035,4.246,1.514,0.756,0.702,0.759,0.742,0.838,5e-06,latent,0.05,6,0,0,0,0.0016074180603027344
rf,k-center,0.726,0.725,0.725,0.726,0.035,0.036,0.036,0.035,32.583,4.874,0.803,0.733,0.781,0.765,0.888,4.8e-05,latent,0.05,6,0,0,0,0.0016074180603027344
svc,k-center,0.721,0.721,0.721,0.721,0.035,0.035,0.035,0.035,11.042,0.609,0.804,0.73,0.777,0.76,0.884,8e-05,latent,0.05,6,0,0,0,0.0016074180603027344
logreg,k-center,0.731,0.731,0.731,0.731,0.021,0.021,0.021,0.021,2.735,0.008,0.802,0.729,0.777,0.76,0.883,0.0,latent,0.05,6,0,0,0,0.0016074180603027344
mlp,k-center,0.679,0.678,0.678,0.679,0.04,0.04,0.04,0.04,11.731,38.929,0.775,0.679,0.723,0.701,0.858,2.4e-05,latent,0.05,6,0,0,0,0.0016074180603027344
naive_bayes,k-center,0.691,0.681,0.681,0.691,0.013,0.015,0.015,0.013,5.866,0.001,0.682,0.701,0.794,0.807,0.862,1e-06,latent,0.05,6,0,0,0,0.0016074180603027344
knn,k-center,0.609,0.608,0.608,0.609,0.025,0.026,0.026,0.025,4.012,0.001,0.731,0.677,0.736,0.717,0.805,2.6e-05,latent,0.05,6,0,0,0,0.0016074180603027344
xgb,ag,0.829,0.828,0.828,0.829,0.021,0.021,0.021,0.021,7.416,13.717,0.755,0.736,0.8,0.793,0.854,5e-06,original,0.05,6,0,0,0,0.001458883285522461
rf,ag,0.835,0.835,0.835,0.835,0.034,0.034,0.034,0.034,10.034,0.867,0.806,0.762,0.813,0.802,0.888,2.3e-05,original,0.05,6,0,0,0,0.001458883285522461
svc,ag,0.797,0.796,0.796,0.797,0.023,0.024,0.024,0.023,6.971,0.27,0.801,0.726,0.773,0.756,0.883,8.3e-05,original,0.05,6,0,0,0,0.001458883285522461
logreg,ag,0.825,0.825,0.825,0.825,0.014,0.014,0.014,0.014,3.417,0.114,0.797,0.738,0.789,0.775,0.872,7e-06,original,0.05,6,0,0,0,0.001458883285522461
mlp,ag,0.783,0.783,0.783,0.783,0.018,0.019,0.019,0.018,12.336,73.783,0.798,0.742,0.793,0.779,0.883,2.7e-05,original,0.05,6,0,0,0,0.001458883285522461
naive_bayes,ag,0.758,0.754,0.754,0.758,0.026,0.028,0.028,0.026,4.037,0.002,0.765,0.699,0.753,0.734,0.805,1e-06,original,0.05,6,0,0,0,0.001458883285522461
knn,ag,0.77,0.769,0.769,0.77,0.017,0.017,0.017,0.017,9.724,0.001,0.792,0.724,0.773,0.756,0.88,4.2e-05,original,0.05,6,0,0,0,0.001458883285522461
xgb,ag,0.875,0.875,0.875,0.875,0.011,0.011,0.011,0.011,7.784,38.082,0.774,0.715,0.769,0.753,0.864,2e-06,latent,0.05,6,0,0,0,0.001458883285522461
rf,ag,0.87,0.869,0.869,0.87,0.017,0.017,0.017,0.017,18.607,2.956,0.791,0.754,0.808,0.798,0.877,3.4e-05,latent,0.05,6,0,0,0,0.001458883285522461
svc,ag,0.849,0.848,0.848,0.849,0.022,0.022,0.022,0.022,6.191,0.275,0.799,0.753,0.805,0.793,0.883,5.6e-05,latent,0.05,6,0,0,0,0.001458883285522461
logreg,ag,0.87,0.87,0.87,0.87,0.018,0.018,0.018,0.018,3.133,0.154,0.758,0.728,0.79,0.781,0.845,0.0,latent,0.05,6,0,0,0,0.001458883285522461
