model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
knn,k-center,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,6.118,0.001,0.554,0.551,0.666,0.659,0.543,2.7e-05,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015931129455566406,0.08950614929199219
xgb,k-center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,4.251,0.055,0.606,0.552,0.617,0.587,0.641,4e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015931129455566406,0.08950614929199219
rf,k-center,0.5,0.367,0.367,0.5,0.0,0.067,0.067,0.0,13.524,0.267,0.603,0.464,0.478,0.465,0.707,5e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015931129455566406,0.08950614929199219
svc,k-center,0.55,0.507,0.507,0.55,0.245,0.271,0.271,0.245,6.883,0.001,0.517,0.461,0.519,0.484,0.471,3e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015931129455566406,0.08950614929199219
logreg,k-center,0.55,0.507,0.507,0.55,0.245,0.271,0.271,0.245,7.001,0.011,0.52,0.456,0.508,0.474,0.533,8e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015931129455566406,0.08950614929199219
mlp,k-center,0.45,0.427,0.427,0.45,0.187,0.204,0.204,0.187,7.564,0.026,0.549,0.523,0.608,0.579,0.568,2.5e-05,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015931129455566406,0.08950614929199219
naive_bayes,k-center,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,5.972,0.001,0.546,0.394,0.391,0.394,0.516,2e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015931129455566406,0.08950614929199219
knn,k-center,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,6.795,0.001,0.472,0.464,0.63,0.652,0.409,2.8e-05,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015931129455566406,0.08950614929199219
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.313,0.014,0.655,0.659,0.755,0.759,0.754,4e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
rf,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,14.89,0.287,0.715,0.708,0.784,0.78,0.821,6e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
svc,ag,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.148,0.007,0.765,0.746,0.809,0.803,0.859,3e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
logreg,ag,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,7.292,0.006,0.76,0.748,0.812,0.809,0.866,8e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
mlp,ag,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,7.733,0.731,0.784,0.713,0.762,0.744,0.868,1.3e-05,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
naive_bayes,ag,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,7.064,0.001,0.588,0.597,0.735,0.771,0.615,1e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
knn,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.365,0.001,0.759,0.678,0.727,0.706,0.825,3e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
xgb,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.173,0.032,0.671,0.663,0.75,0.745,0.769,4e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
rf,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.101,0.269,0.733,0.704,0.771,0.76,0.809,8e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
svc,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.863,0.001,0.78,0.73,0.785,0.771,0.134,3e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
logreg,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.869,0.008,0.732,0.691,0.755,0.739,0.813,6e-06,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
mlp,ag,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,8.202,1.341,0.756,0.711,0.77,0.755,0.839,2.1e-05,latent,10,5,1869.726514339447,0,5.377313363220422e-07,0.0015082359313964844,118.25525116920471
